state,country,shape,latitude,longitude 
ca,us,light,34.2572222,-118.6002778
me,us,triangle,43.5341667,-70.9102778
fl,us,triangle,27.9375,-82.2861111
mi,us,light,43.4133333,-86.0794444
nc,us,sphere,34.9852778,-80.5497222
oh,us,triangle,41.7386111,-80.77
ca,,other,35.423335,-120.618785
ks,us,sphere,38.9716667,-95.235
or,us,circle,42.225,-121.7805556
oh,,triangle,41.389491,-82.019032
wv,us,light,40.0638889,-80.7211111
fl,us,,26.7052778,-80.0366667
bc,ca,sphere,46.216667,-63.483333
or,us,oval,43.2166667,-123.3405556
nh,us,fireball,43.1488889,-72.3611111
nc,us,triangle,36.0988889,-78.3013889
id,us,disk,43.9147222,-113.6125
ky,us,oval,37.99,-84.1797222
il,us,circle,39.7338889,-90.2288889
ny,us,oval,41.5619444,-73.6030556
ca,us,rectangle,38.6172222,-121.3272222
me,us,disk,44.8830556,-68.6725
wa,us,oval,48.0511111,-119.9022222
ca,us,light,33.7358333,-118.2913889
ny,us,light,42.0969444,-79.2355556
sc,us,other,34.8297222,-82.6016667
ca,us,circle,33.78,-118.2616667
tn,us,cigar,35.7563889,-83.9705556
ar,us,triangle,34.7463889,-92.2894444
tn,us,disk,36.1325,-88.5186111
nv,us,cigar,36.175,-115.1363889
ga,us,other,34.7047222,-85.2819444
ca,,sphere,38.812963,-120.030183
ga,us,triangle,32.5402778,-82.9038889
mo,us,egg,37.2152778,-93.2980556
tx,us,unknown,32.5005556,-94.7402778
az,us,triangle,33.4147222,-111.9086111
oh,us,light,40.2986111,-83.0680556
mt,us,light,45.4297222,-108.5325
ok,us,triangle,36.3377778,-96.8036111
ny,us,disk,40.7141667,-74.0063889
ms,,changing,31.243787,-90.453153
ma,us,changing,42.1486111,-72.6083333
ca,us,triangle,34.4208333,-119.6972222
mo,us,cigar,38.2430556,-93.3816667
nv,us,circle,36.175,-115.1363889
pa,us,disk,40.4436111,-76.4286111
ia,us,,41.6611111,-91.53
or,us,,45.4208333,-122.6694444
or,us,,45.4208333,-122.6694444
ky,us,disk,38.4783333,-82.6380556
pa,us,rectangle,40.4619444,-78.2
,gb,light,51.021111,-3.104722
il,us,other,41.5733333,-87.7844444
ny,us,triangle,40.6836111,-73.5105556
tx,us,,30.2669444,-97.7427778
nh,us,triangle,43.1977778,-70.8741667
ca,,sphere,38.609741,-122.254045
tx,us,formation,29.7630556,-95.3630556
oh,us,triangle,39.2275,-83.2705556
ny,us,oval,40.7141667,-74.0063889
ca,us,sphere,37.3230556,-122.0311111
az,us,sphere,32.8338889,-109.7069444
tx,us,fireball,30.1577778,-95.4891667
mn,us,triangle,47.4736111,-94.88
tx,us,rectangle,32.9125,-96.6386111
ny,us,other,42.4811111,-74.6108333
or,,rectangle,43.804133,-120.554201
nc,us,cigar,35.2269444,-80.8433333
wi,us,light,44.5191667,-88.0197222
