"country","datetime","count"
"ca","12/20/2009",1
"ca","12/20/2010",1
"ca","12/20/2011",1
"ca","12/21/2010",1
"ca","12/22/2007",1
"ca","12/22/2011",1
"ca","12/22/2012",1
"ca","12/23/2006",1
"ca","12/23/2010",1
"ca","12/23/2011",1
"ca","12/23/2013",1
"ca","12/24/2007",1
"ca","12/24/2012",2
"ca","12/25/2009",1
"ca","12/25/2010",1
"ca","12/25/2012",2
"ca","12/25/2013",1
"ca","12/26/2005",1
"ca","12/26/2007",1
"ca","12/26/2009",1
"ca","12/26/2010",1
"ca","12/26/2012",2
"ca","12/27/2006",1
"ca","12/27/2009",1
"ca","12/27/2010",1
"ca","12/28/2005",1
"ca","12/28/2010",1
"ca","12/28/2013",1
"ca","12/29/2007",1
"ca","12/30/2010",1
"ca","12/31/2011",1
"ca","12/31/2013",2
"ca","2/13/2005",1
"ca","2/13/2012",1
"ca","2/13/2013",2
"ca","2/14/2009",1
"ca","2/15/2005",2
"ca","2/15/2007",1
"ca","2/15/2010",2
"ca","2/16/2005",1
"ca","2/16/2008",2
"ca","2/17/2005",1
"ca","2/18/2011",1
"ca","2/18/2013",1
"ca","2/19/2007",2
"ca","2/19/2008",1
"ca","2/20/2006",1
"ca","2/20/2007",1
"ca","2/20/2008",1
"ca","2/20/2010",1
"ca","2/21/2005",2
"ca","2/21/2009",1
"ca","2/21/2011",1
"ca","2/22/2005",1
"ca","2/24/2005",1
"ca","2/24/2008",1
"ca","2/25/2007",2
"ca","2/26/2009",1
"ca","2/26/2011",1
"ca","2/27/2006",2
"ca","2/27/2009",1
"ca","2/27/2014",1
"ca","3/13/2007",1
"ca","3/13/2008",2
"ca","3/13/2012",1
"ca","3/14/2005",1
"ca","3/14/2006",1
"ca","3/14/2012",1
"ca","3/15/2007",2
"ca","3/15/2009",1
"ca","3/15/2013",1
"ca","3/15/2014",1
"ca","3/16/2007",2
"ca","3/16/2013",1
"ca","3/17/2006",1
"ca","3/17/2011",1
"ca","3/17/2013",1
"ca","3/18/2014",2
"ca","3/19/2011",1
"ca","3/19/2014",1
"ca","3/20/2005",1
"ca","3/20/2012",2
"ca","3/20/2013",1
"ca","3/22/2006",1
"ca","3/22/2007",1
"ca","3/23/2008",1
"ca","3/23/2011",1
"ca","3/23/2013",1
"ca","3/24/2006",1
"ca","3/24/2011",1
"ca","3/25/2007",1
"ca","3/25/2012",1
"ca","3/25/2014",1
"ca","3/26/2005",1
"ca","3/27/2005",2
"ca","3/27/2012",1
"ca","3/27/2013",2
"ca","3/27/2014",1
"ca","3/28/2008",1
"ca","3/29/2006",2
"ca","3/29/2008",1
"ca","3/29/2010",1
"ca","3/29/2011",2
"ca","3/31/2009",1
"ca","3/31/2014",1
"ca","4/13/2014",2
"ca","4/14/2005",1
"ca","4/14/2007",1
"ca","4/14/2011",1
"ca","4/14/2013",2
"ca","4/15/2005",1
"ca","4/15/2007",2
"ca","4/15/2013",1
"ca","4/16/2007",1
"ca","4/16/2008",1
"ca","4/16/2013",1
"ca","4/16/2014",1
"ca","4/17/2005",1
"ca","4/17/2009",1
"ca","4/18/2007",1
"ca","4/18/2014",1
"ca","4/19/2005",2
"ca","4/19/2006",2
"ca","4/19/2007",1
"ca","4/20/2005",1
"ca","4/20/2007",1
"ca","4/20/2010",1
"ca","4/20/2011",1
"ca","4/20/2014",1
"ca","4/21/2007",1
"ca","4/21/2010",1
"ca","4/21/2012",2
"ca","4/22/2007",1
"ca","4/22/2011",1
"ca","4/22/2012",2
"ca","4/22/2013",1
"ca","4/22/2014",1
"ca","4/23/2005",1
"ca","4/23/2008",1
"ca","4/23/2009",1
"ca","4/23/2010",1
"ca","4/24/2006",2
"ca","4/24/2009",3
"ca","4/24/2014",1
"ca","4/25/2005",1
"ca","4/25/2007",1
"ca","4/25/2010",1
"ca","4/27/2005",1
"ca","4/27/2007",1
"ca","4/27/2009",1
"ca","4/27/2013",1
"ca","4/29/2007",2
"ca","4/29/2014",1
"ca","4/30/2010",1
"ca","4/30/2014",1
"ca","5/13/2008",1
"ca","5/13/2009",1
"ca","5/13/2013",1
"ca","5/14/2012",1
"ca","5/15/2005",1
"ca","5/15/2008",2
"ca","5/15/2009",1
"ca","5/16/2011",1
"ca","5/17/2009",1
"ca","5/17/2013",1
"ca","5/18/2007",2
"ca","5/18/2010",2
"ca","5/18/2012",1
"ca","5/19/2005",1
"ca","5/19/2006",1
"ca","5/19/2007",1
"ca","5/19/2008",1
"ca","5/19/2010",1
"ca","5/19/2012",1
